,minimum,maximum,range
rxn08299,-1.2171204551391903,9998.904591590377,10000.121712045517
rxn05428,0.0,14.174488710727895,14.174488710727895
rxn00992,0.0,0.0,0.0
rxn10057,-10000.0,10000.0,20000.0
rxn05513,0.0,10000.0,10000.0
rxn01457,-2.0895324259691468e-12,10000.0,10000.000000000002
rxn05361,111.59245988444732,123.99162209383043,12.399162209383107
rxn09208,5.69574562022889,6.328606244698766,0.6328606244698758
rxn05567,-10000.0,9999.999999999996,19999.999999999996
rxn00002,0.0,0.0,0.0
rxn10197,3.325174271943372,3.694638079937079,0.36946380799370715
rxn09988,0.0,0.0,0.0
rxn00467,-10000.0,10000.0,20000.0
rxn10060,-10000.0,10000.0,20000.0
rxn11399,0.0,0.0,0.0
rxn05629,-10000.0,10000.0,20000.0
rxn10261,0.23768679962347283,0.2640964440260812,0.026409644402608345
rxn05456,10.202323410776954,11.335914900863282,1.133591490086328
rxn04834,0.0,0.0,0.0
rxn10329,0.38362910653513815,0.4262545628168201,0.04262545628168196
rxn10232,4.173667017197886,4.6374077968865395,0.4637407796886537
rxn05149,0.0,0.0,0.0
rxn00206,0.0,0.0,0.0
rxn00300,0.0,3359.148711465004,3359.148711465004
rxn02186,668.1321178263022,10000.0,9331.867882173698
rxn02288,0.0,0.0,0.0
rxn00907,-2666.6666666664164,9999.999999999998,12666.666666666415
rxn10297,0.22583044474429564,0.2509227163825511,0.025092271638255448
rxn05619,0.0,0.0,0.0
rxn05410,12.757039839655112,14.174488710727896,1.417448871072784
rxn00509,-10000.0,10000.0,20000.0
rxn00205,-6.702116849340213e-11,10000.0,10000.000000000067
rxn06673,991.5064267895276,1363.4745571317699,371.96813034224226
rxn00278,-10000.0,10000.0,20000.0
rxn00790,0.0,1679.574355732512,1679.574355732512
rxn02933,-123.99162209376672,9612.38822886018,9736.379850953947
rxn00100,0.4098825280597094,0.4554250311747314,0.045542503115022004
rxn05574,3.958202791839005e-12,10000.0,9999.999999999996
rxn05569,-9999.999999999982,10000.000000000002,19999.999999999985
rxn01018,0.0,3440.45115703754,3440.45115703754
rxn05656,0.0,10000.000000000002,10000.000000000002
rxn05204,-10000.0,1.8189894035458565e-12,10000.000000000002
rxn00060,0.0,0.0,0.0
rxn00806,-10000.0,9645.720269183672,19645.720269183672
rxn00006,0.0,10000.0,10000.0
rxn09202,1.930194673813066,2.1446607486811855,0.21446607486811953
rxn02834,83.55705016659633,2770.8760193385956,2687.3189691719995
rxn05622,0.0,10000.0,10000.0
rxn03239,-32.67554674408029,-2.3354940030819266e-15,32.67554674408029
rxn05570,0.0,0.0,0.0
rxn05334,0.0,38.59165133699872,38.59165133699872
rxn01053,-9999.999999999985,10000.0,19999.999999999985
rxn05394,59.60770755047151,66.23078616719063,6.62307861671912
rxn01704,0.0,9442.562544350123,9442.562544350123
rxn02341,0.40988252806461917,0.4554250311707791,0.045542503106159926
rxn03175,83.55705016659462,2770.8760193386092,2687.3189691720145
rxn05716,0.0,9999.999999999998,9999.999999999998
rxn00199,0.0,9999.999999999998,9999.999999999998
rxn05661,-9999.999999999998,10000.0,20000.0
rxn05216,-10000.0,0.0,10000.0
rxn02473,83.55705016659633,2770.876019338598,2687.3189691720017
rxn05498,0.0,0.0,0.0
rxn00834,-10000.0,10000.0,20000.0
rxn10292,0.36831503683150657,0.40923892981278515,0.040923892981278576
rxn05500,-10000.0,10000.0,20000.0
rxn01518,-9999.999999999984,10000.0,19999.999999999985
rxn05649,-9999.999999999984,0.0,9999.999999999984
rxn00926,0.0,10000.0,10000.0
rxn10219,5.101161705388478,5.66795745043165,0.566795745043172
rxn05207,-10000.0,10000.0,20000.0
rxn00786,-10000.0,10000.0,20000.0
rxn03080,0.0,6718.297422930076,6718.297422930076
rxn05150,0.0,10000.0,10000.0
rxn01285,0.0,10000.0,10000.0
rxn01761,-9999.999999999996,10000.0,19999.999999999996
rxn05199,0.0,10000.0,10000.0
bio00006,1022.8472951931376,1136.496994659043,113.64969946590531
rxn02297,0.0,0.0,0.0
rxn00607,-10000.000000000002,9999.99999999999,19999.999999999993
rxn10320,0.3572764688217822,0.39697385424642473,0.03969738542464252
rxn05354,0.0,32.66711977566552,32.66711977566552
rxn01637,-10000.0,0.0,10000.0
rxn01639,0.0,0.0,0.0
rxn05040,0.0,6718.297422929944,6718.297422929944
rxn01204,-10000.0,10000.0,20000.0
rxn00379,0.0,6433.089082309512,6433.089082309512
rxn05760,0.0,0.0,0.0
rxn00105,-4478.8649486198965,0.0,4478.8649486198965
rxn11407,0.0,10000.000000000016,10000.000000000016
rxn05495,-9999.999999999995,4587.2682093834455,14587.268209383441
rxn00350,0.0,0.0,0.0
rxn05378,0.0,123.99162209383033,123.99162209383033
rxn05326,0.0,38.591651336998645,38.591651336998645
rxn10300,0.025674776353885594,0.02852752928209511,0.0028527529282095163
rxn09562,-9917.857383987086,10000.0,19917.857383987088
rxn05612,-10000.0,10000.0,20000.0
rxn00689,0.0,0.0,0.0
rxn05164,0.0,9999.999999999984,9999.999999999984
rxn05671,-10000.0,10000.0,20000.0
rxn00799,-10000.0,10000.0,20000.0
rxn00313,332.6487742886242,4811.513722908679,4478.864948620055
rxn04132,0.0,0.0,0.0
rxn01122,0.0,10000.000000000051,10000.000000000051
rxn09944,0.0,0.0,0.0
rxn02791,0.0,0.0,0.0
rxn10206,18.952708212493427,21.05856468054829,2.1058564680548635
rxn05376,111.59245988444734,123.9916220938306,12.399162209383263
rxn05342,-38.59165133699852,0.0,38.59165133699852
rxn05455,2.5547164288781636,2.8385738098646307,0.28385738098646707
rxn01972,436.5318049914068,4915.396753624647,4478.864948633241
rxn11402,0.0,10000.0,10000.0
rxn06510,0.0,38.662327060220015,38.662327060220015
rxn05550,0.0,0.0,0.0
rxn10278,7.591238767566315,8.434709741740356,0.8434709741740409
rxn02866,0.0,66.23078616719059,66.23078616719059
