name,cas,kegg,formula,exact_mass,cls,q1,q3,ionmode,rt,mean_natto,mean_soy,vip,pval,qval,fc,logfc,direction,fc_abs
Homovanillic acid,306-08-1,C05582,C9H10O4,182.05790999999999,Phenols,183.1,77.0,+,1.8743,0.0146580034284004,0.00116646462694934,1.40349690463632,0.0114760574471675,0.0554723263449912,12.5661791105792,3.65147414351732,natto_up,12.5661791105792
Glycitein,40957-83-3,C14536,C16H12O5,284.06849999999997,flavonoids,285.3,269.8,+,7.91,0.0196960692007503,0.0017281390365319,1.40778727251099,0.0358762015150221,0.0730426086931216,11.3972711595458,3.51061653718477,natto_up,11.3972711595458
3-Galloylquinic acid,17365-11-6,C10834,C14H16O10,344.07434999999998,Phenols,345.1,153.0,+,2.90368333333,0.000401246659528847,3.5823120671288e-05,1.26522353468459,0.000699886622794833,0.024692747720638,11.2007734672441,3.48552645563704,natto_up,11.2007734672441
"Daidzein-4',7-diglucoside",53681-67-7,,C27H30O14,578.16355999999996,Flavonoids,579.2,399.1,+,5.94415,0.000156590333621409,1.44239512418865e-05,1.3893738291444,0.00192796467309493,0.0282682180328694,10.8562716966678,3.44045682710628,natto_up,10.8562716966678
Pelargonidin,7690-51-9;134-04-3,C05904,C15H10O5,270.05282499999998,Flavonoids,271.1,121.0,+,8.98363333333,0.00894759146470042,0.000899782586481981,1.38896245783952,0.0396067739126507,0.0743154918533857,9.94417051310606,3.31385103455446,natto_up,9.94417051310606
Neoeriocitrin,13241-32-2,C09805,C27H32O15,596.174125,Flavonoids,597.2,271.1,+,5.99175,0.000442148549647544,4.48314386246375e-05,1.34236443645774,0.00772984825171351,0.0493814671001392,9.86246623378616,3.30194845576664,natto_up,9.86246623378616
Betulalbuside A,64776-96-1,,C16H28O7,332.18350500000003,Monoterpenoids,333.2,153.1,+,4.19596666667,0.000209998918942667,2.20248007476849e-05,1.32759529364632,0.00683301719270671,0.0472935975966459,9.53465692372905,3.25318102838183,natto_up,9.53465692372905
Lupanine,550-90-3,C10772,C15H24N2O,248.188863,Alkaloids,249.2,136.1,+,2.95888333333,0.00055226647132862,6.46955570462443e-05,1.32685848547442,0.00630811823045486,0.0459017091294913,8.53638946077643,3.09362599859829,natto_up,8.53638946077643
Ethyl acrylate,140-88-5,C19238,C5H8O2,100.05243,Carboxylic acids and derivatives,101.1,55.0,+,1.73615,0.00948184686874583,0.00113741298419181,1.39769110896468,0.000417342136620697,0.0238768066842842,8.33632726241747,3.0594119151643,natto_up,8.33632726241747
Morroniside,25406-64-8,C17000,C17H26O11,406.147515,Iridoids,407.2,227.1,+,4.48674965,0.000278506540104908,3.73056197548645e-05,1.34657715680319,0.00644390982480128,0.0462753132733016,7.46553848816818,2.90024632548925,natto_up,7.46553848816818
Eriocitrin,13463-28-0,C09732,C27H32O15,596.174125,Flavonoids,597.2,271.1,+,5.93997726833333,0.000443857858157913,6.28418192039676e-05,1.26470248020332,0.0101290506395388,0.0536563277348081,7.06309689599007,2.82030088843243,natto_up,7.06309689599007
"4',7-Dihydroxyflavone",2196-14-7,C12123,C15H10O4,254.05790999999999,Flavonoids,255.1,213.1,+,7.68681666667,0.00134173716770863,0.00020072166206419,0.960124003888474,0.006136632079404,0.0454154791293696,6.68456585059335,2.7408338631555,natto_up,6.68456585059335
Naringenin,480-41-1,C00509,C15H12O5,272.06849999999997,flavonoids,273.3,152.8,+,8.86,0.00371511637237755,0.000591414548648547,1.40107493148089,0.0179898589314315,0.062576402613358,6.28174667137803,2.65116576353812,natto_up,6.28174667137803
Guanidineacetic acid,352-97-6,C00581,C3H7N3O2,117.053827,Amino acid and derivatives,118.1,43.0,+,1.10791666667,0.002094769406474,0.00033906082724438,1.23626868458704,0.0320989573799171,0.0715409465611586,6.17815223155869,2.62717541985014,natto_up,6.17815223155869
L-Theanine,3081-61-6,C01047,C7H14N2O3,174.10044300000001,Amino acid and derivatives,175.1,84.0,+,0.848766666667,0.0044110153962361,0.000761868764404418,1.34793887618001,0.0104471457248481,0.0541158919273794,5.78973125336666,2.53349638302736,natto_up,5.78973125336666
3-Hydroxy-4-methoxycinnamic acid;Isoferulic acid,537-73-5,C10470,C10H10O4,194.05790999999999,Phenylpropanoids,195.1,149.1,+,4.86728333333,0.000597587711427097,0.000117240014978427,1.25254664308371,0.00108761144256297,0.0251452213030405,5.09713097134162,2.34968542392751,natto_up,5.09713097134162
Streptozotocin,18883-66-4,C07313,C8H15N3O7,265.091002,Organooxygen compounds,266.1,140.1,+,0.71665,0.000495661295341225,0.000103228230866573,1.05995051695397,0.0327659090406721,0.0718264318819403,4.80160602560252,2.26351703450815,natto_up,4.80160602560252
Daidzin,552-66-9,C10216,C21H20O9,416.11070000000001,flavonoids,416.9,255.0,+,5.45,2.37074213482839,0.529805707186862,1.39490340769501,0.00226752800016454,0.0292485787359791,4.47473876303909,2.16180345974692,natto_up,4.47473876303909
Maltol,118-71-8,C11918,C6H6O3,126.031695,Flavonoids,127.0,43.0,+,0.8987,0.0028919764869372,0.0128049393537869,1.35167332664162,0.00183447472766803,0.0279494030556933,0.225848511034293,-2.14657269242707,soy_up,4.42774670251494
L-Glutamic acid,56-86-0,C00025,C5H9NO4,147.05315899999999;147.0532,Amino acid and derivatives;amino acids,148.1,84.0,+,0.66,0.660761842380137,0.159578346637246,1.38846211261706,0.00175299260200108,0.0276504800155342,4.14067357072061,2.04986547257854,natto_up,4.14067357072061
3-Hydroxypicolinic acid,874-24-8,C18620,C6H5NO3,139.02694399999999,Pyridines and derivatives,140.0,94.0,+,4.14561666667,0.000385342070515064,9.49254371922653e-05,1.29507230050791,0.0374141242591141,0.0735821251290554,4.05941844370523,2.0212730602976,natto_up,4.05941844370523
Anthranilic acid,118-92-3,C00108,C7H7NO2,137.04767899999999,Benzoic acid derivatives,138.1,120.0,+,2.87835,0.000316749995653697,8.14559479989031e-05,1.21344263498917,0.00386515347839817,0.0369533541308858,3.88860486477873,1.95925264475254,natto_up,3.88860486477873
Psoralidin,18642-23-4,C10523,C20H16O5,336.09977500000002,Coumarins,337.1,55.1,+,11.7986166667,0.00130606550914535,0.000339443941051024,1.36890823360906,0.000625875581957667,0.0245462329913479,3.8476618704737,1.94398202176267,natto_up,3.8476618704737
2-Keto-6-acetamidocaproate,,C05548,C8H13NO4,187.08445900000001,Keto acids and derivatives,188.1,100.1,+,1.47715,0.0017721429152337,0.000486436075357,1.27823507821004,0.0484030770481997,0.0779094111488481,3.64311572478072,1.86517282349561,natto_up,3.64311572478072
Vasicine,6159-55-3,C10733,C11H12N2O,188.09496300000001,Alkaloids,189.1,171.1,+,3.75961666667,0.0306919476665319,0.00867757364058224,1.29094120762987,0.0437377379558495,0.0755307792608186,3.53692736446459,1.82249659167023,natto_up,3.53692736446459
1-Kestose,470-69-9,C03661,C18H32O16,504.16904,Organooxygen compounds,527.2,203.1,+,0.738166666667,0.000583195723494119,0.00202525182387593,1.20912511394027,0.0239412779952319,0.0672135848462394,0.287962077909895,-1.79604926104474,soy_up,3.4726794835565324
Tabernanthine,83-94-3,C09274,C20H26N2O,310.20451300000002,Alkaloids,311.2,138.1,+,3.78616666667,0.000128973421052059,3.82461414756808e-05,1.10187100009528,0.0416429794805891,0.0749397322919188,3.372194320153,1.75368767288841,natto_up,3.372194320153
Mimosine,500-44-7,C04771,C8H10N2O4,198.06405799999999,Alkaloids,199.1,124.0,+,2.36581666667,0.000151333406694154,4.77143361245761e-05,1.33412018955677,0.017949084946549,0.062536974897719,3.1716548732658,1.66523579130754,natto_up,3.1716548732658
Galangin,548-83-4,C10044,C15H10O5,270.05282499999998,Flavonoids,271.1,153.0,+,11.0755398875,0.000365554589228428,0.000119996853453615,1.14296090049032,0.0454097988342324,0.0759693692596504,3.04636812305862,1.60709028759717,natto_up,3.04636812305862
