,minimum,maximum,range,rxn_name
rxn05537,0.0,0.0,0.0,Dipeptide transport via ABC system (gly-asp)
rxn00947,0.0,0.0,0.0,Palmitate:CoA ligase (AMP-forming)
rxn05599,0.0,0.0,0.0,cysteate transport via ABC system
rxn10343,0.0,0.0,0.0,Mercury (Hg+2) ABC transporter
rxn05188,0.0,0.0,0.0,Ferrichrome ABC transport
EX_cpd01017_e,0.0,0.0,0.0,EX_cpd01017_e
rxn05512,0.0,0.0,0.0,butanesulfonate transport via ABC system
rxn00065,0.0,0.0,0.0,ATP pyrophosphate-lyase (cyclizing)
rxn11403,0.0,0.0,0.0,Uridine 2'-phosphate transport in via proton symport
rxn10073,0.0,0.0,0.0,proline betaine transport in via ABC system
rxn05558,0.0,0.0,0.0,Ferroxamine transport via ABC system
rxn05737,0.0,0.0,0.0,FMN-dependent monooxygenase (taurine)
rxn00303,0.0,0.0,0.0,ATP:GTP 3'-pyrophosphotransferase
rxn00122,0.0,0.0,0.0,ATP:FMN adenylyltransferase
rxn01314,0.0,0.0,0.0,"NADPH:6,7-dihydropteridine oxidoreductase"
rxn05585,0.0,0.0,0.0,hexanesulfonate transport via ABC system
rxn02945,0.0,0.0,0.0,prephytoene diphosphate:geranylgeranyl-diphosphate
rxn03406,0.0,0.0,0.0,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine
rxn02527,0.0,0.0,0.0,rxn02527
rxn08669,0.0,0.0,0.0,Glycerophosphodiester phosphodiesterase (Glycerophosphoglyce
rxn05542,0.0,0.0,0.0,Dipeptide transport via ABC system (ala-gly)
rxn01480,0.0,0.0,0.0,3-Hydroxy-2-methylpropanoate:NAD+ oxidoreductase
rxn04308,0.0,0.0,0.0,"di-trans,poly-cis-Decaprenyl-diphosphate:isopentenyl-diphosp"
rxn01537,0.0,0.0,0.0,Thiamin hydrolase
rxn01973,0.0,0.0,0.0,"N-Succinyl-LL-2,6-diaminoheptanedioate amidohydrolase"
rxn05620,0.0,0.0,0.0,MOPS transport via ABC system
rxn00455,0.0,0.0,0.0,N-Formyl-L-methionine amidohydrolase
rxn05108,0.0,0.0,0.0,2-keto-4-methylthiobutyrate transamination
rxn02666,0.0,0.0,0.0,L-2-amino-3-oxobutanoate decarboxylation (spontaneous)
rxn00222,0.0,0.0,0.0,"1,4-beta-D-Glucan glucohydrolase"
rxn01966,0.0,0.0,0.0,"alpha,alpha-Trehalose:orthophosphate beta-D-glucosyltransfer"
rxn02275,0.0,0.0,0.0,4-Guanidinobutanamide amidohydrolase
rxn00029,0.0,0.0,0.0,5-Aminolevulinate hydro-lyase(adding 5-aminolevulinate and
rxn05088,0.0,0.0,0.0,"5,6,7,8-tetrahydropteridine:NADPH+ oxidoreductase"
rxn02277,0.0,0.0,0.0,"7,8-Diaminononanoate:carbon-dioxide cyclo-ligase"
rxn05735,0.0,0.0,0.0,"aldehyde dehydrogenase (aminoacetaldehyde, NAD)"
rxn09889,0.0,0.0,0.0,"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate"
rxn04457,0.0,0.0,0.0,rxn04457
rxn01843,0.0,0.0,0.0,2-phenylacetamide amidohydrolase
rxn09340,0.0,0.0,0.0,UDP-N-acetyl-D-galactosamine pyrophosphohydrolase (periplasm
rxn02825,0.0,0.0,0.0,Acetyl-CoA:N-hydroxyarylamine O-acetyltransferase
rxn05180,0.0,0.0,0.0,Carnitine-ABC transport
rxn01225,0.0,0.0,0.0,Guanine aminohydrolase
rxn02264,0.0,0.0,0.0,Hydroxymethylbilane hydro-lyase(cyclizing)
rxn01750,0.0,0.0,0.0,"CDPglucose 4,6-hydro-lyase"
rxn11405,0.0,0.0,0.0,Phenethylamine transport in via proton symport
rxn10061,0.0,0.0,0.0,Dipicolinate synthase
rxn00965,0.0,0.0,0.0,4-Hydroxybenzoyl-CoA hydrolase
rxn08100,0.0,0.0,0.0,L-alanyl-gamma-glutamate epimerase
rxn05475,0.0,0.0,0.0,3-aminobutyrate transport in via proton symport
rxn09448,0.0,0.0,0.0,fatty-acid--CoA ligase (octadecenoate)
rxn01851,0.0,0.0,0.0,4-aminobutanal:NAD+ 1-oxidoreductase
rxn00867,0.0,0.0,0.0,L-Histidine ammonia-lyase
rxn01010,0.0,0.0,0.0,UDPglucuronate 5'-epimerase
rxn09011,0.0,0.0,0.0,nucleoside-triphosphatase (dITP)
rxn03838,0.0,0.0,0.0,rxn03838
rxn01021,0.0,0.0,0.0,Methylthioadenosine methylthioribohydrolase
rxn05543,0.0,0.0,0.0,Dipeptide transport via ABC system (ala-his)
rxn01124,0.0,0.0,0.0,2-Dehydro-3-deoxy-D-gluconate:NAD+ 5-oxidoreductase
rxn03976,0.0,0.0,0.0,reduced-riboflavin:NADP+ oxidoreductase
rxn11703,0.0,0.0,0.0,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate syntha"
rxn05611,0.0,0.0,0.0,D-mannose transport in via proton symport
rxn02596,0.0,0.0,0.0,a-galactosidase (stachyose)
rxn02792,0.0,0.0,0.0,(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase
rxn02312,0.0,0.0,0.0,S-Adenosyl-L-methionine:8-amino-7-oxononanoate aminotransfer
rxn04724,0.0,0.0,0.0,"salicylate,NADH:oxygen oxidoreductase"
rxn05304,0.0,0.0,0.0,CYSTabc
rxn03869,0.0,0.0,0.0,Acylamide aminohydrolase
rxn10344,0.0,0.0,0.0,Lead (Pb+2) ABC transporter
rxn05106,0.0,0.0,0.0,2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phophatase
rxn10474,0.0,0.0,0.0,cobalt transport in/out via permease (no H+)
rxn02305,0.0,0.0,0.0,2-Methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:4-met
rxn00589,0.0,0.0,0.0,"salicylate,NADH:oxygen oxidoreductase (1-hydroxylating,"
rxn02363,0.0,0.0,0.0,"3-Hydroxyphenylacetate,NADH:oxygen oxidoreductase (3-hydroxy"
rxn05148,0.0,0.0,0.0,Heme-ABC transport
rxn11511,0.0,0.0,0.0,rxn11511
rxn02296,0.0,0.0,0.0,6-Carboxyhyxanoate:CoA ligase (AMP-forming)
rxn05481,0.0,0.0,0.0,5-Methylthio-D-ribose transport in/out via proton symport
rxn08775,0.0,0.0,0.0,L-alanyl-gamma-L-glutamate peptidase
rxn05533,0.0,0.0,0.0,Dipeptide transport via ABC system (ala-asp)
rxn01653,0.0,0.0,0.0,5-Formyltetrahydrofolate cyclo-ligase (ADP-forming)
rxn00231,0.0,0.0,0.0,Acetamide amidohydrolase
rxn05598,0.0,0.0,0.0,Lactose transport out via ABC system
rxn02196,0.0,0.0,0.0,Cephalosporin-C acetylhdrolase
rxn05203,0.0,0.0,0.0,Guanine ion-coupled transport
rxn05250,0.0,0.0,0.0,FACOAL160(ISO)
rxn05628,0.0,0.0,0.0,ornithine transport in via proton symport
rxn02894,0.0,0.0,0.0,ATP:S5-methyl-5-thio-D-ribose 1-phosphotransferase
rxn05526,0.0,0.0,0.0,chromate transport out via proton antiport
rxn05700,0.0,0.0,0.0,Amygdalin transport in via proton symport
rxn02061,0.0,0.0,0.0,S-Adenosylmethioninamine:putrescine 3-aminopropyltransferase
rxn01093,0.0,0.0,0.0,"ATP:2,3-dihydroxybenzoate adenylyltransferase"
rxn10002,0.0,0.0,0.0,Heme D synthase
rxn04456,0.0,0.0,0.0,rxn04456
rxn09450,0.0,0.0,0.0,"fatty-acid--CoA ligase (hexadecenoate), peroxisomal"
rxn02177,0.0,0.0,0.0,Isochorismate pyruvate-hydrolase
rxn04885,0.0,0.0,0.0,"benzo[a]pyrene-7,8-oxide hydrolase"
rxn05515,0.0,0.0,0.0,Cobalamin uptake in via ABC transport
rxn03599,0.0,0.0,0.0,Chloroacetic acid halidohydrolase
rxn05545,0.0,0.0,0.0,Dipeptide transport via ABC system (ala-thr)
rxn05183,0.0,0.0,0.0,D-Methionine-ABC transport
rxn03075,0.0,0.0,0.0,ATP:4-methyl-5-(2-hydroxyethyl)-thiazole 2-phosphotransferas
rxn05528,0.0,0.0,0.0,Copper export via ATPase
rxn05538,0.0,0.0,0.0,Dipeptide transport via ABC system (gly-pro-L)
rxn03108,0.0,0.0,0.0,ATP:4-amino-2-methyl-5-phosphomethylpyrimidine phosphotransf
rxn00758,0.0,0.0,0.0,sn-Glycero-3-phosphocholine glycerophosphohydrolase
rxn00328,0.0,0.0,0.0,4-Hydroxy-2-oxoglutarate glyoxylate-lyase
rxn05657,0.0,0.0,0.0,thioglycolate transport via ABC system
rxn02795,0.0,0.0,0.0,Glycochenodeoxycholate amidohydrolase
rxn11921,0.0,0.0,0.0,Generic lipid content reaction
rxn02774,0.0,0.0,0.0,S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase
rxn05172,0.0,0.0,0.0,Taurine-ABC transport
rxn05104,0.0,0.0,0.0,S-Methyl-5-thio-D-ribulose-1-phosphate hydro-lyase
rxn03057,0.0,0.0,0.0,5-Methylthio-5-deoxy-D-ribose-1-phosphate ketol-isomerase
rxn01210,0.0,0.0,0.0,10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)
rxn05185,0.0,0.0,0.0,D-Allose ABC transport
rxn05116,0.0,0.0,0.0,rxn05116
rxn04748,0.0,0.0,0.0,"salicylate,NADH:oxygen oxidoreductase"
rxn01386,0.0,0.0,0.0,D-Lyxose ketol-isomerase
rxn05548,0.0,0.0,0.0,Djenkolate transporter via ABC system
rxn04712,0.0,0.0,0.0,rxn04712
rxn05540,0.0,0.0,0.0,Dipeptide transport via ABC system (ala-gln)
rxn00858,0.0,0.0,0.0,Agmatine amidinohydrolase
rxn04704,0.0,0.0,0.0,coproporphyrinogen-III:S-adenosyl-L-methionine
rxn01629,0.0,0.0,0.0,"(S)-4-Amino-5-oxopentanoate 4,5-aminomutase"
rxn00827,0.0,0.0,0.0,CTP:N-acylneuraminate cytidylyltransferase
rxn10072,0.0,0.0,0.0,gamma-butyrobetaine transport in via ABC system
rxn08180,0.0,0.0,0.0,Biotin synthase
rxn03839,0.0,0.0,0.0,AMID5
rxn08470,0.0,0.0,0.0,FMNH2-dependent monooxygenase (butanesulfonate)
rxn01548,0.0,0.0,0.0,guanosine:orthophosphate ribosyltransferase
rxn01997,0.0,0.0,0.0,"dTDPglucose 4,6-hydro-lyase"
rxn09996,0.0,0.0,0.0,"teichuronic acid (n=45), unlinked, GalNAc-GlcA repeated"
rxn11408,0.0,0.0,0.0,Phenylacetaldehyde transport in via proton symport
rxn01903,0.0,0.0,0.0,Phenethylamine:oxygen oxidoreductase (deaminating)
EX_cpd02274_e,0.0,0.0,0.0,EX_cpd02274_e
EX_cpd00765_e,0.0,0.0,0.0,EX_cpd00765_e
EX_cpd00028_e,0.0,0.0,0.0,EX_cpd00028_e
EX_cpd11599_e,0.0,0.0,0.0,EX_cpd11599_e
EX_cpd01055_e,0.0,0.0,0.0,EX_cpd01055_e
EX_cpd03805_e,0.0,0.0,0.0,EX_cpd03805_e
EX_cpd00751_e,0.0,0.0,0.0,EX_cpd00751_e
EX_cpd05240_e,0.0,0.0,0.0,EX_cpd05240_e
EX_cpd11586_e,0.0,0.0,0.0,EX_cpd11586_e
EX_cpd11595_e,0.0,0.0,0.0,EX_cpd11595_e
EX_cpd11588_e,0.0,0.0,0.0,EX_cpd11588_e
EX_cpd02241_e,0.0,0.0,0.0,EX_cpd02241_e
EX_cpd11575_e,0.0,0.0,0.0,EX_cpd11575_e
EX_cpd11577_e,0.0,0.0,0.0,EX_cpd11577_e
EX_cpd01187_e,0.0,0.0,0.0,EX_cpd01187_e
EX_cpd00064_e,0.0,0.0,0.0,EX_cpd00064_e
EX_cpd00274_e,0.0,0.0,0.0,EX_cpd00274_e
EX_cpd01981_e,0.0,0.0,0.0,EX_cpd01981_e
EX_cpd00637_e,0.0,0.0,0.0,EX_cpd00637_e
EX_cpd10515_e,0.0,0.0,0.0,EX_cpd10515_e
EX_cpd00030_e,0.0,0.0,0.0,EX_cpd00030_e
EX_cpd03161_e,0.0,0.0,0.0,EX_cpd03161_e
EX_cpd04761_e,0.0,0.0,0.0,EX_cpd04761_e
EX_cpd05190_e,0.0,0.0,0.0,EX_cpd05190_e
EX_cpd00870_e,0.0,0.0,0.0,EX_cpd00870_e
EX_cpd11597_e,0.0,0.0,0.0,EX_cpd11597_e
EX_cpd00058_e,0.0,0.0,0.0,EX_cpd00058_e
EX_cpd15471_e,0.0,0.0,0.0,EX_cpd15471_e
EX_cpd00464_e,0.0,0.0,0.0,EX_cpd00464_e
EX_cpd01012_e,0.0,0.0,0.0,EX_cpd01012_e
EX_cpd11574_e,0.0,0.0,0.0,EX_cpd11574_e
EX_cpd00531_e,0.0,0.0,0.0,EX_cpd00531_e
EX_cpd00541_e,0.0,0.0,0.0,EX_cpd00541_e
EX_cpd08306_e,0.0,0.0,0.0,EX_cpd08306_e
EX_cpd11584_e,0.0,0.0,0.0,EX_cpd11584_e
EX_cpd03884_e,0.0,0.0,0.0,EX_cpd03884_e
EX_cpd00207_e,0.0,0.0,0.0,EX_cpd00207_e
EX_cpd11592_e,0.0,0.0,0.0,EX_cpd11592_e
EX_cpd00381_e,0.0,0.0,0.0,EX_cpd00381_e
EX_cpd11581_e,0.0,0.0,0.0,EX_cpd11581_e
EX_cpd00395_e,0.0,0.0,0.0,EX_cpd00395_e
EX_cpd00104_e,0.0,0.0,0.0,EX_cpd00104_e
EX_cpd00700_e,0.0,0.0,0.0,EX_cpd00700_e
EX_cpd08376_e,0.0,0.0,0.0,EX_cpd08376_e
EX_cpd11590_e,0.0,0.0,0.0,EX_cpd11590_e
EX_cpd01939_e,0.0,0.0,0.0,EX_cpd01939_e
EX_cpd00266_e,0.0,0.0,0.0,EX_cpd00266_e
EX_cpd11585_e,0.0,0.0,0.0,EX_cpd11585_e
