node_id,name,degree,betweenness,compartment,is_anchor,direction
cpd15754_c,"Isohexadecanoyllipoteichoic_acid (n=24),",5,11.50291074,Cytosol,False,
cpd00274_c,L-Citrulline_C6H13N3O3,5,0.0,Cytosol,False,
cpd15753_c,Anteisopentadecanoyllipoteichoic_acid (n,5,75.54331542,Cytosol,False,
cpd15723_c,Dianteisoheptadecanoylphosphatidylglycer,5,25.24918156,Cytosol,False,
cpd00176_c,2-Dehydro-3-deoxy-D-gluconate_C6H9O6,5,0.14814397,Cytosol,False,
cpd00297_c,dTDP_C10H14N2O11P2,5,0.0,Cytosol,False,
cpd00019_c,S-Adenosyl-L-homocysteine_C14H20N6O5S,5,0.0,Cytosol,False,
cpd00028_c,Heme_C34H30FeN4O4,5,90.1569455,Cytosol,False,
cpd15747_c,"Myristoyllipoteichoic_acid (n=24), linke",5,75.54331542,Cytosol,False,
cpd15750_c,Anteisoheptadecanoyllipoteichoic_acid (n,5,11.50291074,Cytosol,False,
cpd00497_c,Xanthosine_5'-phosphate_C10H12N4O9P,5,0.00114679,Cytosol,False,
cpd15726_c,Dianteisopentadecanoylphosphatidylglycer,5,29.55119131,Cytosol,False,
cpd15724_c,Diisotetradecanoylphosphatidylglycerol_C,5,124.50275181,Cytosol,False,
cpd15749_c,Isoheptadecanoyllipoteichoic_acid (n=24),5,11.50291074,Cytosol,False,
cpd15751_c,Isotetradecanoyllipoteichoic_acid (n=24),5,18.52187592,Cytosol,False,
cpd00207_c,Guanine_C5H5N5O,5,0.4335928,Cytosol,False,
cpd00042_c,Glutathione_C10H16N3O6S,5,0.0,Cytosol,True,natto_up
cpd15752_c,Isopentadecanoyllipoteichoic_acid (n=24),5,14.37233145,Cytosol,False,
cpd00863_c,beta-D-Glucose_6-phosphate_C6H12O9P,5,0.0,Cytosol,False,
cpd00224_c,L-Arabinose_C5H10O5,5,1.37913877,Cytosol,False,
cpd00129_c,L-Proline_C5H8NO2,5,0.00159109,Cytosol,False,
cpd00182_c,Adenosine_C10H13N5O4,5,0.0,Cytosol,False,
cpd02431_c,(S)-1-Pyrroline-5-carboxylate_C5H6NO2,5,0.0,Cytosol,False,
cpd00075_c,Nitrite_NO2,5,0.0,Cytosol,False,
cpd00121_c,myo-Inositol_C6H12O6,5,0.0,Cytosol,False,
cpd15538_c,Phosphatidylglycerol_dihexadecanoyl_C38H,5,25.27821456,Cytosol,False,
cpd00492_c,N-Acetyl-D-mannosamine_C8H15NO6,5,0.02019009,Cytosol,False,
cpd00198_c,D-Xylulose_5-phosphate_C5H10O8P,5,0.00282486,Cytosol,False,
cpd15722_c,Diisoheptadecanoylphosphatidylglycerol_C,5,25.24918156,Cytosol,False,
cpd00179_c,Maltose_C12H22O11,5,0.0,Cytosol,False,
cpd00119_c,L-Histidine_C6H9N3O2,5,0.02770976,Cytosol,False,
cpd00134_c,Palmitoyl-CoA_C37H63N7O17P3S,5,0.0,Cytosol,False,
cpd15536_c,Phosphatidylglycerol_ditetradecanoyl_C34,5,25.24918156,Cytosol,False,
cpd15540_c,Phosphatidylglycerol_dioctadecanoyl_C42H,5,25.24918156,Cytosol,False,
cpd15748_c,"Stearoyllipoteichoic_acid (n=24), linked",5,11.63341834,Cytosol,False,
cpd15736_c,"Diglucosyl-1,2_diisohexadecanoylglycerol",4,0.66707584,Cytosol,False,
cpd15733_c,"Diglucosyl-1,2_diisotetradecanoylglycero",4,0.78757714,Cytosol,False,
cpd03049_c,2-(alpha-Hydroxyethyl)thiamine_diphospha,4,0.016,Cytosol,False,
cpd01092_c,(S)(+)-Allantoin_C4H6N4O3,4,0.0,Cytosol,False,
