gene_id,growth_std,essential_std,growth_natto,essential_natto,growth_ratio,gene_name,n_reactions,reactions
peg_DOT_1,0.0,True,0.0,True,0.0,peg.1,1,rxn05294
peg_DOT_103,0.0,True,0.0,True,0.0,peg.103,1,rxn05296
peg_DOT_104,0.0,True,0.0,True,0.0,peg.104,1,rxn05296
peg_DOT_105,0.0,True,0.0,True,0.0,peg.105,1,rxn05296
peg_DOT_107,0.0,True,0.0,True,0.0,peg.107,1,rxn05295
peg_DOT_108,0.0,True,2.606770083686672e-12,True,2.2936884971426838e-15,peg.108,1,rxn05295
peg_DOT_110,0.0,True,0.0,True,0.0,peg.110,1,rxn05296
peg_DOT_111,0.0,True,0.0,True,0.0,peg.111,1,rxn05296
peg_DOT_1135,0.0,True,-6.004671699904303e-12,True,-5.283491050238771e-15,peg.1135,27,rxn05344;rxn05409;rxn05348;rxn05350;rxn05392;rxn05421;rxn05429;rxn05404
peg_DOT_1143,0.0,True,0.0,True,0.0,peg.1143,1,rxn05296
peg_DOT_115,0.0,True,0.0,True,0.0,peg.115,1,rxn05296
peg_DOT_116,0.0,True,0.0,True,0.0,peg.116,1,rxn05296
peg_DOT_1162,6.506863459448229e-09,True,4.374014598646843e-09,True,3.848681183674477e-12,peg.1162,6,rxn00077;rxn10058;rxn10060;rxn10059;rxn10056;rxn10057
peg_DOT_117,0.0,True,0.0,True,0.0,peg.117,1,rxn05296
peg_DOT_118,0.0,True,0.0,True,0.0,peg.118,1,rxn05296
peg_DOT_119,0.0,True,0.0,True,0.0,peg.119,1,rxn05296
peg_DOT_120,0.0,True,0.0,True,0.0,peg.120,1,rxn05296
peg_DOT_121,0.0,True,0.0,True,0.0,peg.121,1,rxn05296
peg_DOT_122,0.0,True,0.0,True,0.0,peg.122,1,rxn05296
peg_DOT_123,0.0,True,-4.140054472952567e-12,True,-3.642820431913786e-15,peg.123,1,rxn05296
peg_DOT_124,0.0,True,0.0,True,0.0,peg.124,1,rxn05296
peg_DOT_125,0.0,True,0.0,True,0.0,peg.125,1,rxn05296
peg_DOT_126,0.0,True,1.0632720055733837e-12,True,9.355695708569601e-16,peg.126,1,rxn05296
peg_DOT_127,0.0,True,0.0,True,0.0,peg.127,1,rxn05296
peg_DOT_128,0.0,True,0.0,True,0.0,peg.128,1,rxn05296
peg_DOT_129,0.0,True,0.0,True,0.0,peg.129,1,rxn05296
peg_DOT_13,0.0,True,0.0,True,0.0,peg.13,1,rxn05296
peg_DOT_130,0.0,True,0.0,True,0.0,peg.130,1,rxn05296
peg_DOT_131,0.0,True,0.0,True,0.0,peg.131,1,rxn05296
