reaction,baseline_flux,cfba_flux,delta_flux,abs_delta
rxn00955,-9999.81583423451,-9999.82978684511,-0.013952610599517357,0.013952610599517357
rxn00965,0.0,0.0,0.0,0.0
rxn00973,0.0,0.0,0.0,0.0
rxn00974,0.0,0.0,0.0,0.0
rxn00979,0.0,0.0,0.0,0.0
rxn00980,0.0,0.0,0.0,0.0
rxn00985,-7153.369509579888,-7988.792765276469,-835.4232556965817,835.4232556965817
rxn00988,8407.320849714859,10000.0,1592.679150285141,1592.679150285141
rxn00991,-71.65981643005067,-66.23078616719053,5.429030262860138,5.429030262860138
rxn00992,0.0,0.0,0.0,0.0
rxn00994,0.0,238.35456934423456,238.35456934423456,238.35456934423456
rxn01000,216.3020705896441,199.91477648742196,-16.387294102222143,16.387294102222143
rxn01010,0.0,0.0,0.0,0.0
rxn01011,2467.7020714343894,10000.0,7532.297928565611,7532.297928565611
rxn01013,0.0,0.0,0.0,0.0
rxn01018,0.0,0.0,0.0,0.0
rxn01019,0.0,0.0,0.0,0.0
rxn01021,0.0,0.0,0.0,0.0
rxn01044,0.0,-6255.474418254695,-6255.474418254695,6255.474418254695
rxn01045,-5589.251579071498,-10000.0,-4410.748420928502,4410.748420928502
rxn01053,10000.0,10000.0,0.0,0.0
rxn01068,9770.897836918199,3683.7552293813064,-6087.142607536893,6087.142607536893
rxn01069,0.0,0.0,0.0,0.0
rxn01073,0.0,0.0,0.0,0.0
rxn01080,9999.999999999945,10000.0,5.4569682106375694e-11,5.4569682106375694e-11
rxn01093,0.0,0.0,0.0,0.0
rxn01094,0.0,0.0,0.0,0.0
rxn01100,-10000.0,-10000.0,0.0,0.0
rxn01101,10000.0,9999.999999999996,-3.637978807091713e-12,3.637978807091713e-12
rxn01102,7532.29792856561,1.5299138391516946e-12,-7532.297928565608,7532.297928565608
rxn01103,0.0,0.0,0.0,0.0
rxn01106,-7532.297928565611,-4.630372124909624e-12,7532.2979285656065,7532.2979285656065
rxn01107,0.0,0.0,0.0,0.0
rxn01108,0.0,0.0,0.0,0.0
rxn01109,0.0,0.0,0.0,0.0
rxn01114,0.0,0.0,0.0,0.0
rxn01115,0.0,0.0,0.0,0.0
rxn01116,9984.129281216705,10000.0,15.87071878329516,15.87071878329516
rxn01122,10000.000000000005,10000.0,-5.4569682106375694e-12,5.4569682106375694e-12
rxn01123,10000.000000000022,10000.0,-2.1827872842550278e-11,2.1827872842550278e-11
rxn01124,0.0,0.0,0.0,0.0
rxn01127,-997.0829173557445,-8665.758639661031,-7668.675722305286,7668.675722305286
rxn01128,-28.2624421045185,-26.121246925243398,2.141195179275101,2.141195179275101
rxn01129,0.0,0.0,0.0,0.0
rxn01132,10000.0,10000.0,0.0,0.0
rxn01133,0.0,0.0,0.0,0.0
rxn01138,10000.0,10000.0,0.0,0.0
rxn01139,0.0,0.0,0.0,0.0
rxn01143,-9931.11265550814,0.0,9931.11265550814,9931.11265550814
rxn01145,0.0,0.0,0.0,0.0
rxn01146,0.0,0.0,0.0,0.0
rxn01152,0.0,0.0,0.0,0.0
rxn01176,0.0,0.0,0.0,0.0
rxn01199,0.0,-6255.474418254695,-6255.474418254695,6255.474418254695
rxn01200,7.935359391647352,3127.737209127274,3119.801849735627,3119.801849735627
rxn01204,10000.0,10000.0,0.0,0.0
rxn01208,0.0,393.6441453514722,393.6441453514722,393.6441453514722
rxn01210,0.0,0.0,0.0,0.0
rxn01211,10000.0,10000.0,0.0,0.0
rxn01213,0.18416576548876332,0.17021315489008457,-0.01395261059867875,0.01395261059867875
rxn01217,0.0,0.0,0.0,0.0
rxn01218,0.0,0.0,0.0,0.0
rxn01219,0.0,-4.63628257804898e-12,-4.63628257804898e-12,4.63628257804898e-12
rxn01225,0.0,0.0,0.0,0.0
rxn01236,-10000.0,-9761.645430655764,238.35456934423564,238.35456934423564
rxn01241,7647.994961255868,8646.357501064484,998.362539808616,998.362539808616
rxn01255,0.0,0.0,0.0,0.0
rxn01256,216.30207058964407,199.91477648742193,-16.387294102222143,16.387294102222143
rxn01257,0.0,0.0,0.0,0.0
rxn01258,0.1841657654887633,0.17021315489008454,-0.01395261059867875,0.01395261059867875
rxn01259,0.0,0.0,0.0,0.0
rxn01265,-23.990243940427952,-22.172715416687232,1.8175285237407195,1.8175285237407195
rxn01268,0.0,0.0,0.0,0.0
rxn01270,0.0,0.0,0.0,0.0
rxn01274,0.0,0.0,0.0,0.0
rxn01275,-10000.0,-10000.0,0.0,0.0
rxn01280,0.0,0.0,0.0,0.0
rxn01281,0.0,0.0,0.0,0.0
rxn01285,0.0,0.0,0.0,0.0
rxn01286,10000.0,10000.0,0.0,0.0
rxn01290,0.0,0.0,0.0,0.0
rxn01292,-10000.000000000002,-10000.000000000002,0.0,0.0
rxn01297,10000.0,8665.758639661102,-1334.2413603388977,1334.2413603388977
rxn01300,0.0,0.0,0.0,0.0
rxn01301,10000.000000000055,10000.0,-5.4569682106375694e-11,5.4569682106375694e-11
rxn01302,-10000.0,-10000.0,0.0,0.0
rxn01304,0.0,0.0,0.0,0.0
rxn01314,0.0,0.0,0.0,0.0
rxn01316,0.0,0.0,0.0,0.0
rxn01322,-6404.763957955381,-6713.7312500863745,-308.9672921309939,308.9672921309939
rxn01329,0.0,0.0,0.0,0.0
rxn01332,0.0,0.0,0.0,0.0
rxn01333,0.0,0.0,0.0,0.0
rxn01334,-7.935359391647351,-3127.737209127274,-3119.801849735627,3119.801849735627
rxn01343,-7.935359391647353,-3127.7372091272746,-3119.801849735627,3119.801849735627
rxn01352,-1.7060783512300646e-12,0.0,1.7060783512300646e-12,1.7060783512300646e-12
rxn01353,149.6965054775891,139.25195367354274,-10.44455180404637,10.44455180404637
rxn01355,0.0,0.0,0.0,0.0
rxn01358,0.0,1334.2413603388982,1334.2413603388982,1334.2413603388982
rxn01360,0.0,0.0,0.0,0.0
rxn01362,0.0,0.0,0.0,0.0
rxn01366,0.0,-1334.2413603389678,-1334.2413603389678,1334.2413603389678
rxn01367,0.0,0.0,0.0,0.0
rxn01370,0.0,0.0,0.0,0.0
rxn01386,0.0,0.0,0.0,0.0
rxn01387,0.0,0.0,0.0,0.0
rxn01388,0.0,0.0,0.0,0.0
rxn01390,0.0,0.0,0.0,0.0
rxn01406,0.0,0.0,0.0,0.0
rxn01434,-10000.0,-9514.894615711299,485.1053842887013,485.1053842887013
rxn01444,21.395052326179044,-1.5452725930167426e-12,-21.39505232618059,21.39505232618059
rxn01445,0.0,0.0,0.0,0.0
rxn01446,21.395052326463695,0.0,-21.395052326463695,21.395052326463695
rxn01451,0.0,1949.1641500649553,1949.1641500649553,1949.1641500649553
rxn01452,-57.167923529348904,-2002.0009658359058,-1944.833042306557,1944.833042306557
rxn01454,0.0,0.0,0.0,0.0
rxn01457,10000.0,10000.0,0.0,0.0
rxn01465,0.0,0.0,0.0,0.0
rxn01466,0.18416576548876332,0.17021315489008457,-0.01395261059867875,0.01395261059867875
rxn01476,10000.0,10000.0,0.0,0.0
rxn01480,0.0,0.0,0.0,0.0
rxn01484,-10000.0,-10000.0,0.0,0.0
rxn01485,0.0,0.0,0.0,0.0
rxn01486,0.1841657654887633,0.17021315489008457,-0.013952610598678722,0.013952610598678722
rxn01489,0.0,0.0,0.0,0.0
rxn01492,10000.000000000013,10000.0,-1.2732925824820995e-11,1.2732925824820995e-11
rxn01504,71.65981643005067,66.23078616719054,-5.429030262860124,5.429030262860124
rxn01507,0.0,0.0,0.0,0.0
rxn01508,-997.0829173557444,-8665.758639661031,-7668.675722305287,7668.675722305287
rxn01509,21.395052326173346,-1.5452725930167426e-12,-21.39505232617489,21.39505232617489
rxn01510,126.7155642033405,118.01207499007319,-8.703489213267318,8.703489213267318
rxn01512,28.15693751295189,26.023735483101653,-2.1332020298502385,2.1332020298502385
rxn01513,28.156937512951853,26.02373548310165,-2.133202029850203,2.133202029850203
rxn01515,0.0,0.0,0.0,0.0
rxn01516,0.0,0.0,0.0,0.0
rxn01517,-8953.285165084242,-963.4252186603496,7989.859946423892,7989.859946423892
rxn01518,-6820.0011623128685,-1334.2413603389675,5485.759801973901,5485.759801973901
rxn01519,0.0,0.0,0.0,0.0
rxn01520,4556.9488579456665,0.0,-4556.9488579456665,4556.9488579456665
rxn01521,0.0,0.0,0.0,0.0
rxn01522,-10000.0,-8665.758639661102,1334.2413603388977,1334.2413603388977
rxn01523,0.0,0.0,0.0,0.0
rxn01537,0.0,0.0,0.0,0.0
rxn01544,0.0,0.0,0.0,0.0
rxn01548,0.0,0.0,0.0,0.0
rxn01549,0.0,0.0,0.0,0.0
rxn01555,0.0,0.0,0.0,0.0
rxn01573,0.0,0.0,0.0,0.0
rxn01575,0.0,306.68812361708154,306.68812361708154,306.68812361708154
rxn01602,-0.25433123750757675,-0.23506280990106368,0.019268427606513067,0.019268427606513067
rxn01603,0.0,0.0,0.0,0.0
rxn01621,10000.0,10000.0,0.0,0.0
rxn01629,0.0,0.0,0.0,0.0
rxn01634,0.0,0.0,0.0,0.0
rxn01636,0.0,0.0,0.0,0.0
rxn01637,0.0,0.0,0.0,0.0
rxn01639,0.0,0.0,0.0,0.0
rxn01642,0.0,0.0,0.0,0.0
rxn01643,124.88718684669207,485.03533887933855,360.14815203264646,360.14815203264646
rxn01644,124.88718684669206,485.0353388793404,360.14815203264834,360.14815203264834
rxn01646,0.0,0.0,0.0,0.0
rxn01647,0.0,0.0,0.0,0.0
