name,kegg,cls,fc,logfc,pval,mean_natto,mean_soy,direction,model_id,model_name,compartment,ex_lb,ex_ub,pathways_s2,constraint_type
5-oxoproline,C01879,Amino acid and derivatives,0.3858,-1.3742,0.02347,0.002717,0.007045,soy_up,M_cpd01293_e,5-Oxoproline_C5H6NO3,Extracellular,-1000.0,-0.6871,Glutathione metabolism - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean),uptake
Indole,C00463,Alkaloids,2.5309,1.3397,0.041296,0.214528,0.084762,natto_up,M_cpd00359_c,Indole_C8H7N,Cytosol,0.6698,1000.0,"Biosynthesis of secondary metabolites - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Phenylalanine, tyrosine and tryptophan biosynthesis - Glycine max (soybean) | Plant hormone signal transduction - Glycine max (soybean) | Tryptophan metabolism - Glycine max (soybean)",secretion
N-p-Coumaroyl putrescine,C18326,Phenolamides,2.488,1.315,0.031759,0.000209,8.4e-05,natto_up,M_cpd00118_c,Putrescine_C4H14N2,Cytosol,0.6575,1000.0,,secretion
2-Isopropyl-3-oxosuccinate,C04236,Keto acids and derivatives,0.4034,-1.3099,0.008785,0.000949,0.002354,soy_up,M_cpd02605_c,(2S)-2-Isopropyl-3-oxosuccinate_C7H8O5,Cytosol,-1000.0,-0.6549,"2-Oxocarboxylic acid metabolism - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Valine, leucine and isoleucine biosynthesis - Glycine max (soybean)",uptake
Uracil,C00106,Nucleotide and its derivates,0.4125,-1.2774,0.024449,0.00062,0.001502,soy_up,M_cpd00092_e,Uracil_C4H4N2O2,Extracellular,-1000.0,-0.6387,Metabolic pathways - Glycine max (soybean) | Pantothenate and CoA biosynthesis - Glycine max (soybean) | Pyrimidine metabolism - Glycine max (soybean) | beta-Alanine metabolism - Glycine max (soybean),uptake
Phosphonoacetate,C05682,Organic acids,2.349,1.2321,0.009676,0.000258,0.00011,natto_up,M_cpd00029_e,Acetate_C2H3O2,Extracellular,0.616,1000.0,Metabolic pathways - Glycine max (soybean) | Phosphonate and phosphinate metabolism - Glycine max (soybean),secretion
N-Acetyl-L-glutamic acid,C00624,Amino acid and derivatives,2.0844,1.0596,0.008184,0.000294,0.000141,natto_up,M_cpd00196_c,Acetyl_phosphate_C2H4O5P,Cytosol,0.5298,1000.0,,secretion
2-(2-Hydroxy-2-propyl)-5-methyl-5-vinyltetrahydrofuran,,Monoterpenoids,1.9771,0.9834,0.003061,0.000802,0.000406,natto_up,M_cpd02274_e,Methyl_beta-D-galactoside_C7H14O6,Extracellular,0.4917,1000.0,,secretion
Citronellyl acetate,C12298,Monoterpenoids,1.8278,0.8701,0.014987,0.00019,0.000104,natto_up,M_cpd00029_e,Acetate_C2H3O2,Extracellular,0.4351,1000.0,,secretion
Fingolimod hydrochloride,,Miscellaneous,1.7367,0.7964,0.03369,0.000223,0.000128,natto_up,M_cpd00099_c,Chloride_Cl,Cytosol,0.3982,1000.0,,secretion
Hypotaurine,C00519,Alkaloids,1.699,0.7647,0.048265,0.000114,6.7e-05,natto_up,M_cpd00210_e,Taurine_C2H7NO3S,Extracellular,0.3824,1000.0,Metabolic pathways - Glycine max (soybean) | Taurine and hypotaurine metabolism - Glycine max (soybean),secretion
